Message,Message_Token,Message_Tagged,Hatespeech_Level,Hatespeech,Sentiment,hatx,Emotion
พม่า มันจะยึดประเทศไทยแล้วเดินไปทางไหนก็มีแต่ พม่า ยิงทิ้งเม่งให้หมดเอาโควิด19เข้ามาเเพร่ไนไทย,พม่า|มันจะยึด|ประเทศไทย|แล้ว|เดิน|ไปทางไหน|ก็มีแต่| |พม่า| |ยิง|ทิ้ง|เม|่ง|ให้หมด|เอา|โค|วิด|เข้ามา|เเพ|ร่|ไน|ไทย,พม่า|มันจะยึด|ประเทศไทย|แล้ว|เดิน|ไปทางไหน|ก็มีแต่| |พม่า| |#ยิง|#ทิ้ง|#แม่ง|#ให้หมด|เอา|โค|วิด|เข้ามา|แพร่|ไน|ไทย,-2,Hatespeech,Negative,พม่า มันจะยึด ประเทศไทย แล้ว เดิน ไปทางไหน ก็มีแต่   พม่า   #ยิง #ทิ้ง #แม่ง #ให้หมด เอา โค วิด เข้ามา แพร่ ไน ไทย,Anger
นี่แหละครับมนุษย์โลกเป็นแบบนี้คนเราทำไมไม่รู้จักแยกแยะใช่ว่าคนพม่าจะติด covid ทุกคนเราต้องแยกแยะให้ออกมีเหตุและผลอย่าไปอคติกับเขาพม่าน่ะก็เหมือนอย่างเราครับคนไทยติดโควิชแล้วคนไทยทุกคนต้องน่ารังเกียจหรือเปล่าเอาใจเขามาใส่ใจเราด้วยเขาก็คนเหมือนกันกับเราบ้านเราเป็นเมืองพุทธต้องมีจิตใจโอบอ้อมอารี เห็นอกเห็นใจเขา,นี่แหละ|ครับ|มนุษย์|โลก|เป็นแบบนี้|คนเรา|ทําไม|ไม่รู้จัก|แยกแยะ|ใช่|ว่า|คน|พม่า|จะ|ติด|ทุกคนเราต้อง|แยกแยะ|ให้|ออก|มีเหตุ|และ|ผล|อย่าไป|อคติ|กับเขา|พม่า|น่ะ|ก็เหมือน|อย่างเรา|ครับ|คนไทย|ติด|โค|วิช|แล้ว|คนไทยทุกคน|ต้อง|น่า|รังเกียจ|หรือเปล่า|เอาใจ|เขามา|ใส่ใจ|เรา|ด้วย|เขาก็|คน|เหมือนกัน|กับเรา|บ้านเรา|เป็นเมือง|พุทธ|ต้องมี|จิตใจ|โอบ|อ้อม|อารี|เห็นอกเห็นใจ|เขา,,1,Nonhatespeech,Neutral,,trust
ตีพม่าให้ตาย,ตี|พม่า|ให้ตาย,#ตี|#พม่า|#ให้ตาย,-2,Hatespeech,Negative,#ตี #พม่า #ให้ตาย,Anger
พม่าเผาเมืองครั้งที่3 T_T,พม่า|เผา|เมือง|ครั้งที่,#พม่า|#เผา|#เมือง|ครั้งที่,-1,Hatespeech,Negative,#พม่า #เผา #เมือง ครั้งที่,disagreeable
คนไทยจะตายกันหมดแล้วจะเปิดให้เข้ามาอีกพูดก็ไม่ค่อยจะรุ้เรื่องใอ้พวกพม่าเนี่ย,คนไทย|จะตาย|กันหมดแล้ว|จะเปิด|ให้|เข้ามา|อีก|พูด|ก็ไม่ค่อย|จะ|รุ้|เรื่อง|ใ|อ|้|พวก|พม่า|เนี่ย,#คนไทย|#จะตาย|#กันหมดแล้ว|จะเปิด|ให้|เข้ามา|อีก|พูด|ก็ไม่ค่อย|จะ|รู้|เรื่อง|#ไอ้|#พวก|#พม่า|เนี่ย,-1,Hatespeech,Negative,#คนไทย #จะตาย #กันหมดแล้ว จะเปิด ให้ เข้ามา อีก พูด ก็ไม่ค่อย จะ รู้ เรื่อง #ไอ้ #พวก #พม่า เนี่ย,Anger
พม่ามันวางแผนไว้แล้วให้คนไทยค่อยๆๆตายอย่างทรมาน,พม่า|มัน|วางแผน|ไว้แล้ว|ให้คนไทย|ค่อยๆ|ๆ|ตาย|อย่าง|ทรมาน,#พม่า|มัน|#วางแผน|ไว้แล้ว|#ให้คนไทย|ค่อยๆ|ๆ|#ตาย|#อย่าง|#ทรมาน,-1,Hatespeech,Negative,#พม่า มัน #วางแผน ไว้แล้ว #ให้คนไทย ค่อยๆ ๆ #ตาย #อย่าง #ทรมาน,disagreeable
พม่า มันตั้งใจ จะมาฆ่า คนไทย อยู่ แล้ว หากให้มันเข้ามาอิก พวกมึง ไม่มีที่ซุกหัว แน่,พม่า|มันตั้งใจ| |จะมา|ฆ่า| |คนไทย| |อยู่|แล้วหากให้มัน|เข้ามา|อิก| |พวกมึง|ไม่มีที่|ซุก|หัว| |แน่,#พม่า|#มันตั้งใจ| |#จะมา|#ฆ่า| |#คนไทย| |อยู่|แล้วหากให้มัน|เข้ามา|อิก| |#พวกมึง|#ไม่มีที่|#ซุก|#หัว| |แน่,-1,Hatespeech,Negative,#พม่า #มันตั้งใจ   #จะมา #ฆ่า   #คนไทย   อยู่ แล้วหากให้มัน เข้ามา อิก   #พวกมึง #ไม่มีที่ #ซุก #หัว   แน่,Anger
"เป็นอีกหนึ่งพระเอกหนุ่มที่พร้อมช่วยเหลือสังคมอยู่เสมอ สำหรับ อาร์ต-พศุตม์ บานแย้ม ซึ่งล่าสุดจากสถานการณ์โควิด-19 ระบาดระลอกใหม่ หนุ่มอาร์ตก็ไม่อยู่เฉย พร้อมยื่นมือเข้าช่วยเหลือในทันที . โดยได้แสดงฝีมือผัดกะเพราด้วยตัวเอง และนำไปแจกจ่ายให้กับแรงงานพม่าที่จังหวัดสมุทรสาคร ซึ่งเป็นพื้นที่สีแดงที่มีผู้ติดเชื้อเป็นจำนวนมาก พร้อมกับโพสต์ร่วม และข้อความใน อินสตาแกรม ส่วนตัวว่า . วันนี้ไปให้แรงงานพม่าที่ ที่ถูกกักตัวสนามกีฬาสมุทรสาครครับ #ทำดีสร้างภาพ #โควิด #covid_19 , โควิท จะทำให้เราเป็นพ่อครัวอีกครั้ง #ทำดีสร้างภาพ #covid_19  , ส่งมอบเรียบร้อย วันนี้ได้ 352 กล่อง #ตลาดกุ้ง #ทำดีสร้างภาพ #covid_19 #ให้แรงงานพม่าที่โดนกักตัว  , พี่ๆ เจ้าหน้าที่ส่งมาบอกว่าถึงมือแรงงานเพื่อนบ้านเราแล้วนะครับ และล่าสุดหนุ่มอาร์ตยังได้ จัดเมนูไก่ผัดพริกแกงถั่วฝักยาว ให้บุคลากร พี่ทหาร พยาบาล ตามหน่วยต่างๆ อีกด้วย ------------------------------- แหล่งข่าว https://www.instagram.com/art_phasut98/ https://www.thaipost.net/main/detail/88295 ------------------------------- ติดตามข้อมูลข่าวสาร รู้ไทย รู้โลก กับ Thailand Vision ได้ที่ Website : http://www.thailandvision.co Facebook : https://www.facebook.com/thvi5ion Twitter : https://twitter.com/Thailand_vision Youtube : https://www.youtube.com/c/Thailandvision",เป็น|อีกหนึ่ง|พระเอก|หนุ่ม|ที่|พร้อม|ช่วยเหลือ|สังคม|อยู่เสมอ|สําหรับ |อาร์ต|พ|ศุ|ตม์| |บาน|แย้ม|ซึ่งล่าสุด|จาก|สถานการณ์|โค|วิด| |ระบาด|ระลอก|ใหม่|หนุ่มอาร์ต|ก็ไม่|อยู่|เฉย| |พร้อม|ยื่นมือ|เข้า|ช่วยเหลือ|ในทันที|โดยได้แสดง|ฝีมือ|ผัด|กะเพรา|ด้วยตัวเอง|และนําไป|แจกจ่าย|ให้กับ|แรงงาน|พม่า|ที่จังหวัด|สมุทรสาคร|ซึ่งเป็นพื้นที่|สีแดง|ที่|มีผู้|ติดเชื้อ|เป็น|จํานวนมาก| |พร้อมกับ|โพสต์|ร่วม|และข้อความ|ใน| |อินสตาแกรม|ส่วนตัวว่า| ||วันนี้|ไปให้|แรงงาน|พม่า|ที่| |ที่ถูก|กักตัว|สนามกีฬา|สมุทรสาคร|ครับ| |ทําดี|สร้างภาพ| |โค|วิด| || ||โค|วิท| |จะทําให้|เราเป็น|พ่อครัว|อีกครั้ง| |ทําดี|สร้างภาพ| || ||ส่งมอบ|เรียบร้อย|วันนี้ได้| |กล่อง| |ตลาด|กุ้ง| |ทําดี|สร้างภาพ| |ให้|แรงงาน|พม่า|ที่โดน|กักตัว| || ||พี่ๆ|เจ้าหน้าที่ส่ง|มาบอกว่า|ถึง|มือ|แรงงาน|เพื่อนบ้าน|เรา|แล้วนะครับ||และล่าสุด|หนุ่ม|อาร์ต|ยังได้| |จัด|เมนู|ไก่|ผัด|พริก|แกง|ถั่ว|ฝัก|ยาว| |ให้|บุคลากร|พี่ทหาร| |พยาบาล| |ตาม|หน่วย|ต่างๆ| |อีกด้วย| |แหล่งข่าว| |ติดตาม|ข้อมูล|ข่าวสาร|รู้ไทย|รู้โลก| |กับ| |ได้|ที่,,0,Nonhatespeech,Positive,,Others
ทำไมเหมือนสมัยก่อนเลย มีคนเห็นได้เป็นไส้ศึกให้พม่าเข้ามาเผาเมือง,ทําไมเหมือน|สมัยก่อน|เลย|มีคนเห็น|ได้เป็น|ไส้|ศึก|ให้|พม่า|เข้ามา|เผา|เมือง,,0,Nonhatespeech,Positive,,Others
หลวงพ่อพุกกะยาภรณ์มณีศรีปทุมพระพุทธรูปทรงเครื่อง ที่ใหญ่ที่สุดในโลก ?? ชมความสวยงามอลังการ พระทรงเครื่อง ที่สวยและใหญ่ที่สุดในโลก ซึ่งตั้งอยู่ภายในวัดพระธาตุจอมศีล ตำบลบ้านถ้ำ อำเภอดอกคำใต้ จังหวัดพะเยา เป็นพระพุทธรูปที่มีความสวยงาม ศิลปะเชียงแสน สิงห์ 1ประดับทรงเครื่องด้วย แก้ว เพชรนิลจินดา ปิดด้วยทองคำเซรามิคพร้อมกับติดองค์พระพุทธรูปและเทพพนม อย่างยิ่งใหญ่อลังการและเป็นที่เคารพนับถือของชาวพะเยา พระครูสุนทรวุฒิคุณ เจ้าอาวาสวัดพระธาตุจอมศีล ตำบลบ้านถ้ำ อำเภอดอกคำใต้ จังหวัดพะเยา นำผู้สื่อข่าวเข้าชมพระทรงเครื่อง ที่มีการกล่าวขานกันว่าเป็นพระทรงเครื่องที่สวยและใหญ่ที่สุด ในประเทศไทย โดยองค์พระสร้างด้วย ปูนปั้นปิดทอง เซรามิครวมทั้งเพชร นิล จินดาที่ได้มาจากจังหวัดจันทบุรีและประเทศพม่า ซึ่งประดิษฐานในอุโบสถวัดพระธาตุจอมศีล ที่ตั้งอยู่บนเนินเขาสูง ในตำบลบ้านถ้ำ อำเภอดอกคำใต้ จังหวัดพะเยา พระครูสุนทรวุฒิคุณ เจ้าอาวาสวัดพระธาตุจอมศีล เจ้าคณะตำบลบ้านถ้ำ กล่าวว่า ที่ผ่านมาได้มีตำนานว่าเจ้าเมืองในพื้นที่จังหวัดพะเยาได้เกิดการล้มป่วยลงและใน นิมิตให้มีการจัดสร้างพระทรงเครื่องขึ้น แต่เดิมได้ประดิษฐาน ที่บริเวณวัดหลวงในหรือวัดหลวงราชสัณฐาน อำเภอเมืองพะเยา แต่ต่อมาพระพุทธรูปองค์ดังกล่าวได้สูญหายไปจากเมืองพะเยา ทางอาตมา พร้อมด้วยคณะศรัทธาญาติโยม จึงได้มีแนวคิดที่จะจัดสร้างพระพุทธรูปทรงเครื่องขึ้น แต่ก็ขาดปัจจัยโดยตนเองจึงได้เดินทางไปประเทศอินเดียและอธิฐานจิตขอให้มีการก่อสร้างพระพุทธรูปทรงเครื่องให้ได้ ต่อมาก็มีผู้มีจิตศรัทธารับเป็นเจ้าภาพในการจัดสร้างพระพุทธรูปทรงเครื่องดังกล่าว จนประสบผลสำเร็จซึ่งพระทรงเครื่ององค์นี้เป็นศิลปะเชียงแสน สิงห์ 1 หรือหลวงพ่อพุกกะยาภรณ์มณีศรีปทุม ที่ประดับด้วย แก้ว เพชรนิลจินดา ปิดด้วยทองคำเซรามิคพร้อมกับติดองค์พระพุทธรูปและเทพพนม อย่างละ 108 องค์ กับองค์พระทรงเครื่องด้วย โดยองค์พระพุทธรูปมีความสูง 7 เมตร หน้าตักกว้าง 5.50 เมตร ใช้งบประมาณในการก่อสร้างจำนวน 1.7 ล้านบาท เริ่มก่อสร้างเมื่อปี พ.ศ.2545 ต่อมาเมื่อ วันที่ 4 มิถุนายน พ.ศ.2559 พระเจ้าหลานเธอ พระองค์เจ้าอทิตยาทรกิติคุณ ได้เสด็จเป็นองค์ประธานตัดหวายลูกนิมิตอุโบสถ และทรงกราบไหว้ พระทรงเครื่อง ที่ประดิษฐาน ในอุโบสถ หลวงพ่อพุกกะยาภรณ์มณีศรีปทุมพระพุทธรูปทรงเครื่อง ที่ใหญ่ที่สุดในโลก,หลวงพ่อ|พุก|กะ|ย|าภรณ์|มณี|ศรี|ปทุม|พระพุทธรูป|ทรง|เครื่อง| |ที่|ใหญ่ที่สุด|ในโลก| |ชม|ความสวยงาม|อลังการ| |พระ|ทรง|เครื่อง| |ที่|สวย|และ|ใหญ่ที่สุด|ในโลก|ซึ่งตั้งอยู่|ภายใน|วัดพระธาตุ|จอม|ศีล| |ตําบลบ้าน|ถ้ํา| |อําเภอ|ดอก|คํา|ใต้| |จังหวัด|พะเยา| |เป็น|พระพุทธรูป|ที่มี|ความสวยงาม| |ศิลปะ|เชียงแสน| |สิงห์| |ประดับ|ทรง|เครื่อง|ด้วย| |แก้ว| |เพชร|นิล|จินดา| |ปิด|ด้วย|ทองคํา|เซ|ร|า|มิค|พร้อมกับ|ติด|องค์|พระพุทธรูป|และ|เทพ|พนม| |อย่าง|ยิ่งใหญ่|อลังการ|และเป็น|ที่เคารพ|นับถือ|ของชาว|พะเยา| |พระครู|สุนทร|วุฒิ|คุณ| |เจ้าอาวาส|วัดพระธาตุ|จอม|ศีล| |ตําบลบ้าน|ถ้ํา| |อําเภอ|ดอก|คํา|ใต้| |จังหวัด|พะเยา| |นํา|ผู้สื่อข่า|ว|เข้าชม|พระ|ทรง|เครื่อง| |ที่มีการ|กล่าว|ขา|น|กันว่า|เป็นพระ|ทรง|เครื่อง|ที่|สวย|และ|ใหญ่ที่สุด| |ใน|ประเทศไทย|โดยองค์พระ|สร้าง|ด้วย| |ปูน|ปั้น|ปิด|ทอง| |เซ|ร|า|มิค|รวมทั้ง|เพชร| |นิล| |จินดา|ที่ได้มา|จาก|จังหวัด|จันทบุรี|และ|ประเทศพม่า|ซึ่งประดิษฐาน|ใน|อุโบสถ|วัดพระธาตุ|จอม|ศีล| |ที่|ตั้งอยู่บน|เนินเขา|สูง| |ใน|ตําบลบ้าน|ถ้ํา| |อําเภอ|ดอก|คํา|ใต้| |จังหวัด|พะเยา| |พระครู|สุนทร|วุฒิ|คุณ| |เจ้าอาวาส|วัดพระธาตุ|จอม|ศีล| |เจ้าคณะ|ตําบลบ้าน|ถ้ํา| |กล่าวว่า| |ที่ผ่านมา|ได้มี|ตํานาน|ว่า|เจ้าเมือง|ในพื้นที่|จังหวัด|พะเยา|ได้|เกิดการ|ล้มป่วย|ลง|และ|ใน| |นิมิต|ให้มีการ|จัดสร้าง|พระ|ทรง|เครื่อง|ขึ้น| |แต่เดิม|ได้|ประดิษฐาน| |ที่บริเวณ|วัด|หลวง|ใน|หรือ|วัด|หลวง|ราช|ส|ัณ|ฐาน| |อําเภอ|เมือง|พะเยา|แต่ต่อมา|พระพุทธรูป|องค์|ดังกล่าว|ได้|สูญหายไป|จากเมือง|พะเยา| |ทาง|อาตมา| |พร้อมด้วย|คณะ|ศรัทธา|ญาติโยม|จึงได้มีแนวคิด|ที่จะ|จัดสร้าง|พระพุทธรูป|ทรง|เครื่อง|ขึ้น|แต่ก็ขาด|ปัจจัย|โดย|ตนเอง|จึงได้|เดินทางไป|ประเทศ|อินเดีย|และ|อธิ|ฐาน|จิต|ขอให้|มีการ|ก่อสร้าง|พระพุทธรูป|ทรง|เครื่อง|ให้ได้|ต่อมาก็มี|ผู้มี|จิต|ศรัทธา|รับ|เป็น|เจ้าภาพ|ในการ|จัดสร้าง|พระพุทธรูป|ทรง|เครื่อง|ดังกล่าว|จนประสบผล|สําเร็จ|ซึ่ง|พระ|ทรง|เครื่อง|องค์|นี้เป็น|ศิลปะ|เชียงแสน| |สิงห์| |หรือ|หลวงพ่อ|พุก|กะ|ย|าภรณ์|มณี|ศรี|ปทุม| |ที่|ประดับ|ด้วย| |แก้ว| |เพชร|นิล|จินดา| |ปิด|ด้วย|ทองคํา|เซ|ร|า|มิค|พร้อมกับ|ติด|องค์|พระพุทธรูป|และ|เทพ|พนม| |อย่าง|ละ| |องค์| |กับ|องค์พระ|ทรง|เครื่อง|ด้วย|โดยองค์|พระพุทธรูป|มีความสูง| |เมตร| |หน้า|ตัก|กว้าง| |เมตร|ใช้งบประมาณ|ในการ|ก่อสร้าง|จํานวน| |ล้านบาท| |เริ่ม|ก่อสร้าง|เมื่อปี| |พศ| |ต่อมาเมื่อ|วันที่ |มิถุนายน| |พศ|พระเจ้าหลาน|เธอ|พระองค์เจ้า|อ|ทิต|ย|า|ทร|กิติ|คุณ| |ได้|เสด็จ|เป็น|องค์|ประธาน|ตัด|หวาย|ลูก|นิมิต|อุโบสถ| |และทรง|กราบไหว้| |พระ|ทรง|เครื่อง| |ที่|ประดิษฐาน| |ใน|อุโบสถ| |หลวงพ่อ|พุก|กะ|ย|าภรณ์|มณี|ศรี|ปทุม|พระพุทธรูป|ทรง|เครื่อง| |ที่|ใหญ่ที่สุด|ในโลก,,0,Nonhatespeech,Positive,,Others
"#SootinClaimon.Com : ขอบคุณแหล่งข้อมูล : หนังสือพิมพ์โพสต์ทูเดย์ วันที่ 29 ธ.ค. 2563 เวลา 14:30 น.ชาวอเมริกันจะได้รับเงินช่วยเหลือจากรัฐบาลสูงสุดคนละ 60,140 บาท สภาผู้แทนราษฎรสหรัฐซึ่งพรรคเดโมแครตครองเสียงข้างมากลงมติ 275 ต่อ 134 เสียง เห็นชอบให้อนุมัติวงเงินช่วยเหลือชาวอเมริกันที่ได้รับผลกระทบจาก Covid-19 จากเดิมที่จะได้รับคนละ 600 เหรียญสหรัฐ หรือ 18,042 บาท เป็น 2,000 เหรียญสหรัฐ หรือ 60,140 บาท การมีสิทธิ์ได้รับเช็คจะพิจารณาจากการคืนภาษีล่าสุดของแต่ละบุคคล โดยผู้ที่มีรายได้ต่ำกว่า 75,000 เหรียญสหรัฐ หรือคู่สมรสที่มีรายได้รวมกัน 150,000 เหรียญสหรัฐ จะได้รับเงินช่วยเหลือเต็มจำนวน และจำนวนเงินช่วยเหลือที่จะได้รับต่อคนจะลดลง 5 เหรียญสหรัฐ ทุกๆ 100 เหรียญสหรัฐที่เกินจาก 75,000 เหรียญสหรัฐ และผู้ที่มีเงินได้เกิน 99,000 เหรียญสหรัฐ หรือคู่สมรสที่มีเงินได้รวมกันเกิน 198,000 เหรียญสหรัฐจะไม่ได้รับเงินช่วยเหลือ อาร์ต พศุตม์ ทำอาหารแจกแรงงานพม่าที่ถูกกักตัวเพราะโควิด-19 ม.4ระยองติดโควิดโยงผู้ปกครองเข้าบ่อน โรงเรียนปิดไม่มีกำหนดเปิด จากนี้มาตรการดังกล่าวจะถูกส่งต่อให้วุฒิสภาซึ่งพรรครีพับลิกันครองเสียงข้างมากพิจารณาต่อไป ซึ่งอาจต้องลุ้นกันเล็กน้อย เนื่องจากสมาชิกจากพรรครีพับลิกันหลายคนกังวลว่าการเพิ่มเงินช่วยเหลือจะเป็นภาระทางการคลังของประเทศ ก่อนหน้านี้ประธานาธิบดี โดนัลด์ ทรัมป์ เรียกร้องให้แก้ไขเพิ่มเงินช่วยเหลือก่อนการลงนามกฎหมายงบประมาณ ซึ่งรวมเงินช่วยเหลือประชาชนและภาคธุรกิจที่ได้รับผลกระทบจากโควิด-19 ที่เพิ่งอนุมัติครั้งล่าสุดเป็นเงิน 2.3 ล้านล้านดอลลาร์สหรัฐ โดยทรัมป์สนับสนุนให้เพิ่มเงินช่วยเหลือชาวอเมริกันและตัดลดเงินช่วยเหลือต่างชาติ http://sootinclaimon.com/2020/12/29/%e0%b8%aa%e0%b8%a0%e0%b8%b2%e0%b8%aa%e0%b8%ab%e0%b8%a3%e0%b8%b1%e0%b8%90%e0%b9%84%e0%b8%9f%e0%b9%80%e0%b8%82%e0%b8%b5%e0%b8%a2%e0%b8%a7%e0%b9%80%e0%b8%9e%e0%b8%b4%e0%b9%88%e0%b8%a1%e0%b9%80%e0%b8%87/",ขอบคุณแหล่ง|ข้อมูล|หนังสือพิมพ์|โพสต์|ทูเดย์|วันที่ |ธ|ค|เวลา |น|ชาว|อเมริกัน|จะ|ได้รับเงิน|ช่วยเหลือ|จากรัฐบาล|สูงสุด|คนละ| |บาท| |สภาผู้แทน|ราษฎร|สหรัฐ|ซึ่ง|พรรค|เดโมแครต|ครอง|เสียงข้าง|มาก|ลงมติ| |ต่อ|เสียง |เห็นชอบให้|อนุมัติ|วงเงิน|ช่วยเหลือ|ชาว|อเมริกัน|ที่ได้รับ|ผลกระทบจาก| |จากเดิมที่|จะได้รับ|คนละ| |เหรียญ|สหรัฐ| |หรือ| |บาท| |เป็น| |เหรียญ|สหรัฐ| |หรือ| |บาท|การมีสิทธิ์|ได้รับ|เช็ค|จะพิจารณา|จากการ|คืน|ภาษี|ล่าสุด|ของ|แต่ละบุคคล|โดยผู้ที่|มีรายได้|ต่ํากว่า| |เหรียญ|สหรัฐ| |หรือ|คู่สมรส|ที่|มีรายได้|รวมกัน| |เหรียญ|สหรัฐ|จะได้รับเงิน|ช่วยเหลือ|เต็ม|จํานวน|และจํานวนเงิน|ช่วยเหลือ|ที่|จะได้รับ|ต่อ|คน|จะลดลง| |เหรียญ|สหรัฐ| |ทุกๆ| |เหรียญ|สหรัฐ|ที่|เกิน|จาก| |เหรียญ|สหรัฐ|และผู้ที่มี|เงินได้|เกิน| |เหรียญ|สหรัฐ| |หรือ|คู่สมรส|ที่มี|เงินได้|รวมกัน|เกิน| |เหรียญ|สหรัฐ|จะไม่|ได้รับเงิน|ช่วยเหลือ| |อาร์ต| |พ|ศุ|ตม์| |ทําอาหาร|แจก|แรงงาน|พม่า|ที่ถูก|กักตัว|เพราะ|โค|วิด| |ม|ระยอง|ติด|โค|วิด|โยง|ผู้ปกครอง|เข้า|บ่อน| |โรงเรียน|ปิด|ไม่มี|กําหนด|เปิด| |จาก|นี้|มาตรการ|ดังกล่าว|จะถูก|ส่งต่อ|ให้|วุฒิสภา|ซึ่ง|พรรค|รีพับลิกัน|ครอง|เสียงข้าง|มาก|พิจารณา|ต่อไป|ซึ่งอาจต้อง|ลุ้นกัน|เล็กน้อย|เนื่องจากสมาชิก|จากพรรค|รีพับลิกัน|หลายคน|กังวลว่า|การเพิ่ม|เงิน|ช่วยเหลือ|จะ|เป็นภาระ|ทาง|การคลัง|ของประเทศ|ก่อนหน้านี้|ประธานาธิบ|ดี| |โดนัลด์| |ทรัมป์| |เรียกร้อง|ให้|แก้ไข|เพิ่ม|เงิน|ช่วยเหลือ|ก่อนการ|ลงนาม|กฎหมาย|งบประมาณ|ซึ่งรวม|เงิน|ช่วยเหลือ|ประชาชน|และ|ภาคธุรกิจ|ที่ได้รับ|ผลกระทบจาก|โค|วิด| |ที่เพิ่ง|อนุมัติ|ครั้ง|ล่าสุด|เป็นเงิน| |ล้าน|ล้านดอลลาร|์สหรัฐ|โดยทรัมป์|สนับสนุน|ให้|เพิ่ม|เงิน|ช่วยเหลือ|ชาว|อเมริกัน|และ|ตัด|ลด|เงิน|ช่วยเหลือ|ต่างชาติ| |%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%,,0,Nonhatespeech,Positive,,Others
สุภาวดี เจริญศิริ ผู้ว่าสมุทรสาครไม่ได้ทำผิดคนผิดคือไอ้คนที่พาเอาแรงงานพม่าเข้ามาทำไมไม่ไปจับล่ะสงสารผู้ว่าจังเลย,สุภ|า|วดี| |เจริญ|ศิริ| |ผู้ว่า|สมุทรสาคร|ไม่ได้|ทําผิด|คน|ผิด|คือ|ไอ้คน|ที่|พ|า|เอา|แรงงาน|พม่า|เข้ามา|ทําไมไม่|ไป|จับ|ล่ะ|สงสาร|ผู้ว่า|จังเลย,,0,Nonhatespeech,Positive,,Others
พูดแต่ว่าเราไม่มีจะกิน แต่ประเทศไทยติดเชื้อก็เรื่องของมึง ให้สงสารและอย่ารังเกียจพวกพม่า 8-9เดือนที่แล้ว ครอบครัวไหนที่มีลูกกลับมาจากเมืองนอกคุณก็เป็นแบบนี้กับคนไทยไม่ใช่รึครับ รังเกียจและกลัวกลุ่มคนที่กลับมาจากเมืองนอกบอกว่าจะขอลาออกบ้าง ขอขึ้นเงินเดือนบ้าง เล่นตัวต่างๆนานา. มาตอนนี้ ให้คนไทยสงสาร ตลกมากๆ คนเหล่านี้ต่างเอาตัวรอดครับ ไม่ใช่ประเทศเขา เค้ามาเพื่อหาเงินอย่างเดียว พอโดนรังเกียจก็มาขอความเห็นใจ แต่ประเทศของเราจะเดือดร้อนแค่ไหนไม่เคยพูด. ตลก,พูดแต่ว่า|เราไม่มี|จะกิน|แต่ประเทศไทย|ติดเชื้อ|ก็|เรื่องของ|มึง| |ให้|สงสาร|และ|อย่า|รังเกียจ|พวก|พม่า| |เดือน|ที่|แล้ว| |ครอบครัว|ไหน|ที่|มีลูก|กลับมาจาก|เมืองนอก|คุณก็|เป็นแบบนี้|กับ|คนไทย|ไม่ใช่|รึ|ครับ| |รังเกียจ|และ|กลัว|กลุ่มคนที่|กลับมาจาก|เมืองนอก|บอกว่า|จะขอ|ลาออก|บ้าง|ขอขึ้น|เงินเดือน|บ้าง| |เล่น|ตัว|ต่างๆ|นาน|า| |มา|ตอนนี้| |ให้คนไทย|สงสาร| |ตลก|มากๆ| |คนเหล่านี้|ต่าง|เอาตัวรอด|ครับ|ไม่ใช่ประเทศ|เขา|เค้ามาเพื่อ|หาเงิน|อย่างเดียว|พอโดน|รังเกียจ|ก็มา|ขอความ|เห็นใจ|แต่ประเทศ|ของ|เราจะ|เดือดร้อน|แค่ไหน|ไม่เคย|พูด| |ตลก,,0,Nonhatespeech,Positive,,Others
#ยิงๆๆๆๆๆๆๆ มันทิ้งไปเลย พม่าหัวค่วยไอ้สัส,ยิง|ๆๆๆ|ๆๆๆ|ๆ|มันทิ้งไป|เลย| |พม่า|หัว|ค|่วย|ไอ้สัส,#ยิง|ๆๆๆ|ๆๆๆ|ๆ|มัน|#ทิ้ง|#ไปเลย| |#พม่า|#หัว|#ควย|#ไอ้สัส,-2,Hatespeech,Negative,#ยิง ๆๆๆ ๆๆๆ ๆ มัน #ทิ้ง #ไปเลย   #พม่า #หัว #ควย #ไอ้สัส,Anger
